Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
15:46:09,10/30/2022,1650768844,1012176180,7317.66,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
16:04:25,11/4/2022,5515199383,6403929687,986.81,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
17:04:39,10/21/2022,8419033992,2521147859,10917.99,UK pounds,Euro,UK,Germany,Cross-border,0,Normal_Fan_Out
22:05:45,10/17/2022,8101552708,5640691105,19.49,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
9:45:41,10/31/2022,3020545845,9578308364,7471.32,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
18:20:36,11/9/2022,2823872929,7359127713,6717.53,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
15:16:42,10/10/2022,1604878571,5075735518,21429.98,Moroccan dirham,UK pounds,Morocco,UK,Cross-border,0,Normal_Fan_Out
15:52:43,10/15/2022,5682858918,9825912384,5434.44,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
14:51:56,10/24/2022,6184316882,1873761260,7495.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:19:26,10/12/2022,3303589032,5951087411,11577.54,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:25:48,10/10/2022,2919129351,8088678610,10367.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
13:45:28,11/9/2022,6441967146,5050052745,27543.18,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
5:50:03,11/6/2022,2149901234,4057408112,1318.38,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
17:17:57,11/11/2022,7618396883,5704508252,2957.24,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Periodical
12:11:14,10/23/2022,5871783465,9247553473,11522.58,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
15:20:57,11/8/2022,9671814521,2166634572,250.2,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:16:56,10/12/2022,8600542721,5594825011,9344.68,UK pounds,Swiss franc,UK,Switzerland,Cross-border,1,Behavioural_Change_1
9:52:58,11/3/2022,9392700144,1692702585,8182.22,US dollar,UK pounds,USA,UK,Cross-border,0,Normal_Fan_Out
21:36:43,10/19/2022,566805775,3105832070,7527.19,UK pounds,Yen,UK,Japan,Cross-border,0,Normal_Fan_Out
17:49:09,10/21/2022,904277283,8710255154,796.38,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
5:19:29,10/23/2022,3592634720,3551565255,7935.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
16:36:42,10/11/2022,3918256548,1171369747,4593.45,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
16:02:23,11/1/2022,4816063555,8974252771,5650.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:14:32,10/27/2022,4210078793,9716797685,8391.91,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
20:33:37,10/10/2022,6314683838,6674518854,18303.11,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
18:31:30,10/19/2022,8316727073,2314413997,11372.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
